,Fecha,EquipoI,PuntosI,EquipoJ,PuntosJ
186,12/8/2019,20,0,2,1
187,12/9/2019,21,0,16,1
188,12/9/2019,4,1,5,1
189,12/12/2019,10,2,1,1
190,12/13/2019,23,2,6,3
191,1/19/2020,23,1,20,2
192,1/24/2020,13,2,3,0
193,1/24/2020,18,0,16,0
194,1/24/2020,17,1,4,0
195,1/24/2020,14,2,12,1
196,1/25/2020,10,1,6,1
197,1/25/2020,15,1,1,0
198,1/25/2020,2,1,5,1
199,1/25/2020,22,0,20,1
200,1/26/2020,19,3,21,3
201,1/26/2020,8,4,7,1
202,1/26/2020,0,1,11,1
203,1/26/2020,9,0,23,0
204,1/30/2020,16,1,13,1
205,1/31/2020,12,1,18,1
206,2/1/2020,23,5,14,0
207,2/1/2020,11,1,8,1
208,2/1/2020,5,3,17,1
209,2/1/2020,4,1,0,1
210,2/2/2020,20,2,15,0
211,2/2/2020,1,0,19,1
212,2/2/2020,3,2,22,0
213,2/2/2020,7,1,9,2
214,2/3/2020,21,2,10,2
215,2/3/2020,6,1,2,0
216,2/7/2020,13,0,15,2
217,2/7/2020,4,0,3,0
218,2/8/2020,18,1,21,1
219,2/8/2020,8,0,1,0
220,2/8/2020,19,1,14,1
221,2/8/2020,6,0,5,0
222,2/8/2020,9,2,11,0
223,2/9/2020,2,1,16,0
224,2/9/2020,0,1,23,0
225,2/9/2020,17,1,20,2
226,2/10/2020,10,1,7,1
227,2/10/2020,22,2,12,1
228,2/14/2020,21,1,17,0
229,2/14/2020,1,1,0,1
230,2/15/2020,12,0,13,2
231,2/15/2020,11,0,4,2
232,2/15/2020,14,1,18,0
233,2/15/2020,7,1,2,0
234,2/16/2020,20,1,19,0
235,2/16/2020,3,1,6,1
236,2/16/2020,15,0,9,4
237,2/17/2020,5,1,8,2
238,2/17/2020,23,1,10,1
239,2/21/2020,19,0,13,1
240,2/21/2020,4,1,21,1
241,2/22/2020,2,0,0,1
242,2/22/2020,23,0,18,1
243,2/22/2020,6,4,1,0
244,2/22/2020,11,2,3,2
245,2/23/2020,10,0,16,4
246,2/23/2020,9,3,22,0
247,2/23/2020,5,0,20,2
248,2/24/2020,8,3,14,0
249,2/24/2020,17,0,15,0
250,2/24/2020,7,4,12,2
251,2/28/2020,0,1,6,1
252,2/28/2020,1,0,9,4
253,2/29/2020,18,1,11,0
254,2/29/2020,20,1,8,1
255,2/29/2020,15,1,19,1
256,2/29/2020,22,1,17,3
257,3/1/2020,13,1,2,3
258,3/1/2020,3,1,5,1
259,3/1/2020,14,3,10,1
260,3/1/2020,16,2,4,0
261,3/2/2020,21,3,7,2
262,3/2/2020,12,1,23,0
263,3/4/2020,16,0,22,1
264,3/6/2020,10,4,13,0
265,3/6/2020,4,2,14,1
266,3/7/2020,8,2,21,0
267,3/7/2020,19,0,12,3
268,3/7/2020,9,1,18,0
269,3/7/2020,11,1,20,1
270,3/8/2020,2,4,3,3
271,3/8/2020,23,3,15,0
272,3/8/2020,6,0,22,2
273,3/8/2020,7,2,1,0
274,3/9/2020,17,0,16,3
275,3/9/2020,5,1,0,2
