Equipos
Racing Club
Colon Santa FE
San Lorenzo
Lanus
Argentinos Jrs
Estudiantes L.P.
Newells Old Boys
Talleres Cordoba
Defensa y Justicia
Boca Juniors
Arsenal Sarandi
Atl. Tucuman
Huracan
Aldosivi
Rosario Central
Central Cordoba
Velez Sarsfield
Union de Santa Fe
Gimnasia L.P.
Banfield
River Plate
Patronato
Godoy Cruz
Independiente
