,Home,HG,Away,AG
2953,Talleres Cordoba,1,Newells Old Boys,0
2954,Patronato,1,Racing Club,1
2955,Independiente,2,San Lorenzo,1
2956,Defensa y Justicia,0,Argentinos Jrs,0
2957,Central Cordoba,0,Velez Sarsfield,0
2958,Huracan,0,Lanus,1
2959,Estudiantes L.P.,1,Talleres Cordoba,0
2960,Union de Santa Fe,0,Atl. Tucuman,1
2961,Lanus,0,Banfield,1
2962,San Lorenzo,3,Argentinos Jrs,0
2963,Godoy Cruz,1,Independiente,2
2964,Central Cordoba,3,Patronato,2
2965,River Plate,0,Rosario Central,1
2966,Aldosivi,0,Gimnasia L.P.,3
2967,Newells Old Boys,2,Defensa y Justicia,0
2968,Racing Club,1,Huracan,0
2969,Velez Sarsfield,0,Boca Juniors,0
2970,Defensa y Justicia,2,Lanus,0
2971,Huracan,1,Central Cordoba,1
2972,Atl. Tucuman,2,San Lorenzo,2
2973,Boca Juniors,2,Union de Santa Fe,0
2974,Banfield,1,Velez Sarsfield,0
2975,Gimnasia L.P.,0,Arsenal Sarandi,1
2976,Talleres Cordoba,3,Racing Club,3
2977,Colon Santa FE,3,Estudiantes L.P.,2
2978,Patronato,0,Godoy Cruz,2
2979,Argentinos Jrs,1,Newells Old Boys,0
2980,Rosario Central,5,Aldosivi,1
2981,Banfield,1,Gimnasia L.P.,1
2982,Racing Club,1,Defensa y Justicia,1
2983,Estudiantes L.P.,1,Atl. Tucuman,1
2984,Boca Juniors,1,Argentinos Jrs,1
2985,Newells Old Boys,2,River Plate,3
2986,San Lorenzo,2,Patronato,0
2987,Godoy Cruz,0,Talleres Cordoba,5
2988,Velez Sarsfield,3,Colon Santa FE,1
2989,Aldosivi,0,Independiente,0
2990,Central Cordoba,1,Rosario Central,1
2991,Arsenal Sarandi,1,Lanus,1
2992,Union de Santa Fe,1,Huracan,0
2993,Colon Santa FE,0,Aldosivi,2
2994,Independiente,0,Banfield,1
2995,Huracan,0,Arsenal Sarandi,2
2996,Atl. Tucuman,2,Newells Old Boys,2
