Alexander Zverev,0.626871,0.451613
Tommy Haas,0.425718,0.181818
Michael Russell,0.442967,0
Radek Stepanek,0.586419,0.411765
Ivo Karlovic,0.804331,0.603175
Jan Hernych,0.562196,0.5
Ageel Khan,0.644866,0.6
Aisam Ul Haq Qureshi,0.742604,1
Stephane Robert,0.287087,0.142857
Michael Berrer,0.552812,0.375
Oliver Marach,0.657208,1
Mohammad Ghareeb,0.794806,1
Victor Estrella,0.653641,0.5
Albert Montanes,0.548269,0.466667
Lleyton Hewitt,0.410964,0.307692
Jurgen Melzer,0.57899,0.428571
